Ix	TIME	1	2
488	2023-01-04 14:02:00		1
489	2023-01-04 14:02:15		1
490	2023-01-04 14:02:30	1	
513	2023-01-04 14:08:15		1
514	2023-01-04 14:08:30		1
2343	2023-01-04 21:45:45	1	
2344	2023-01-04 21:46:00	1	
2360	2023-01-04 21:50:00	1	
2824	2023-01-04 23:46:00		1
4824	2023-01-05 8:06:00	1	
4828	2023-01-05 8:07:00	1	
4829	2023-01-05 8:07:15	1	
5212	2023-01-05 9:43:00	1	
5233	2023-01-05 9:48:15	1	
5234	2023-01-05 9:48:30		1
6398	2023-01-05 14:39:30	1	
6399	2023-01-05 14:39:45	1	
6436	2023-01-05 14:49:00	1	
7953	2023-01-05 21:08:15		1
7954	2023-01-05 21:08:30		1
11036	2023-01-06 9:59:00	1	
11055	2023-01-06 10:03:45	1	
11057	2023-01-06 10:04:15	1	
11175	2023-01-06 10:33:45	1	
11176	2023-01-06 10:34:00	1	
11282	2023-01-06 11:00:30	1	
11286	2023-01-06 11:01:30	1	
11450	2023-01-06 11:42:30	1	
11454	2023-01-06 11:43:30	1	
11510	2023-01-06 11:57:30		1
