Ix	TIME	1	2	3	4	5	6
0	2022-12-20 15:12:00		1.0				
1	2022-12-20 15:12:15		1.0				
76	2022-12-20 15:31:00		1.0				
80	2022-12-20 15:32:00		1.0				
81	2022-12-20 15:32:15		1.0				
98	2022-12-20 15:36:30	1.0					
99	2022-12-20 15:36:45	1.0					
148	2022-12-20 15:49:00	1.0					
168	2022-12-20 15:54:00	1.0					
170	2022-12-20 15:54:30		1.0				
256	2022-12-20 16:16:00		1.0				
280	2022-12-20 16:22:00		1.0				
282	2022-12-20 16:22:30	1.0					
285	2022-12-20 16:23:15	1.0					
286	2022-12-20 16:23:30	1.0					
287	2022-12-20 16:23:45	1.0					
294	2022-12-20 16:25:30	1.0					
295	2022-12-20 16:25:45	1.0					
317	2022-12-20 16:31:15		1.0				
565	2022-12-20 17:33:15		1.0				
567	2022-12-20 17:33:45		1.0				
572	2022-12-20 17:35:00		1.0				
573	2022-12-20 17:35:15		1.0				
588	2022-12-20 17:39:00		1.0				
613	2022-12-20 17:45:15		1.0				
624	2022-12-20 17:48:00	1.0					
632	2022-12-20 17:50:00	1.0					
1555	2022-12-20 21:40:45	1.0					
1568	2022-12-20 21:44:00	1.0					
1569	2022-12-20 21:44:15		1.0				
1587	2022-12-20 21:48:45	1.0					
1588	2022-12-20 21:49:00	1.0					
1590	2022-12-20 21:49:30	1.0					
1738	2022-12-20 22:26:30		1.0				
1739	2022-12-20 22:26:45		1.0				
1763	2022-12-20 22:32:45	1.0					
1764	2022-12-20 22:33:00	1.0					
4138	2022-12-21 8:26:30	1.0					
4139	2022-12-21 8:26:45	1.0					
4148	2022-12-21 8:29:00	1.0					
4161	2022-12-21 8:32:15		1.0				
4188	2022-12-21 8:39:00		1.0				
4189	2022-12-21 8:39:15		1.0				
4192	2022-12-21 8:40:00		1.0				
4198	2022-12-21 8:41:30		1.0				
4199	2022-12-21 8:41:45		1.0				
4308	2022-12-21 9:09:00		1.0				
4369	2022-12-21 9:24:15		1.0				
4376	2022-12-21 9:26:00	1.0					
4377	2022-12-21 9:26:15	1.0					
5004	2022-12-21 12:03:00		1.0				
5013	2022-12-21 12:05:15		1.0				
5056	2022-12-21 12:16:00		1.0				
5062	2022-12-21 12:17:30	1.0					
5066	2022-12-21 12:18:30	1.0					
5093	2022-12-21 12:25:15		1.0				
5095	2022-12-21 12:25:45		1.0				
5108	2022-12-21 12:29:00		1.0				
5141	2022-12-21 12:37:15	1.0					
5158	2022-12-21 12:41:30	1.0					
5159	2022-12-21 12:41:45	1.0					
5160	2022-12-21 12:42:00	1.0					
5179	2022-12-21 12:46:45	1.0					
5180	2022-12-21 12:47:00	1.0					
5280	2022-12-21 13:12:00	1.0					
5370	2022-12-21 13:34:30	1.0					
5441	2022-12-21 13:52:15	1.0					
5442	2022-12-21 13:52:30	1.0					
5498	2022-12-21 14:06:30		1.0				
5499	2022-12-21 14:06:45		1.0				
5500	2022-12-21 14:07:00		1.0				
5586	2022-12-21 14:28:30		1.0				
5587	2022-12-21 14:28:45		1.0				
5589	2022-12-21 14:29:15		1.0				
5600	2022-12-21 14:32:00		1.0				
5620	2022-12-21 14:37:00		1.0				
5621	2022-12-21 14:37:15		1.0				
5623	2022-12-21 14:37:45		1.0				
9802	2022-12-22 11:44:30	1.0					
9803	2022-12-22 11:45:00	1.0					
9804	2022-12-22 12:01:15	1.0					
9805	2022-12-22 12:10:30	1.0					
9806	2022-12-22 12:10:45	1.0					
9807	2022-12-22 14:06:45						
9808	2022-12-22 14:07:00		1.0				
9809	2022-12-22 14:18:30		1.0				
9810	2022-12-22 14:25:00		1.0				
9811	2022-12-22 14:25:15		1.0				
9812	2022-12-22 14:32:30		1.0				
9813	2022-12-22 14:32:45		1.0				
9814	2022-12-22 14:34:45	1.0					
9815	2022-12-22 14:52:15	1.0					
9816	2022-12-22 14:52:45	1.0					
9817	2022-12-22 15:05:00		1.0				
9818	2022-12-22 15:06:15		1.0				
9819	2022-12-22 15:07:00		1.0				
9820	2022-12-22 15:07:30		1.0				
9821	2022-12-22 15:10:00	1.0					
9822	2022-12-22 15:10:15	1.0					
9823	2022-12-22 15:10:30	1.0					
9824	2022-12-22 15:10:45	1.0					
9825	2022-12-22 15:11:00	1.0					
9826	2022-12-22 16:52:15	1.0					
9827	2022-12-22 16:52:30	1.0					
9828	2022-12-22 17:57:45		1.0				
9829	2022-12-22 17:58:00		1.0				
9830	2022-12-22 18:44:30		1.0				
9831	2022-12-22 18:44:45		1.0				
9832	2022-12-22 21:20:00	1.0					
9833	2022-12-22 21:20:15	1.0					
9834	2022-12-22 21:23:15	1.0					
9835	2022-12-22 21:28:30						
9836	2022-12-22 21:45:30		1.0				
9837	2022-12-22 21:47:45	1.0					
9838	2022-12-22 21:48:00	1.0					
9839	2022-12-22 21:50:00	1.0					
9840	2022-12-23 10:47:30						
9841	2022-12-23 10:48:30						
9842	2022-12-23 12:18:30						
9843	2022-12-23 12:22:15						
9844	2022-12-23 14:41:30	1.0					
9845	2022-12-23 14:41:45	1.0					
9846	2022-12-23 14:42:00		1.0				
9847	2022-12-23 15:06:00		1.0				
9848	2022-12-23 15:06:15		1.0				
9849	2022-12-23 15:06:30		1.0		
