Ix	TIME	1	2	3	4	5	6
268	2022-12-20 15:07:00						
292	2022-12-20 15:13:00		1				
358	2022-12-20 15:29:30	1					
360	2022-12-20 15:30:00	1					
365	2022-12-20 15:31:15			1			
385	2022-12-20 15:36:15	1					
420	2022-12-20 15:45:00		1				
421	2022-12-20 15:45:15		1				
489	2022-12-20 16:02:15				1		
490	2022-12-20 16:02:30				1		
502	2022-12-20 16:05:30	1					
503	2022-12-20 16:05:45	1					
521	2022-12-20 16:10:15	1					
522	2022-12-20 16:10:30	1					
525	2022-12-20 16:11:15	1					
541	2022-12-20 16:15:15	1					
565	2022-12-20 16:21:15		1				
566	2022-12-20 16:21:30		1				
852	2022-12-20 17:33:00		1				
876	2022-12-20 17:39:00		1				
877	2022-12-20 17:39:15		1				
880	2022-12-20 17:40:00		1				
882	2022-12-20 17:40:30		1				
911	2022-12-20 17:47:45			1			
913	2022-12-20 17:48:15				1		
1135	2022-12-20 18:43:45					1	
1153	2022-12-20 18:48:15			1			
1154	2022-12-20 18:48:30			1			
1156	2022-12-20 18:49:00			1			
1341	2022-12-20 19:35:15			1			
1556	2022-12-20 20:29:00		1				
1559	2022-12-20 20:29:45		1				
1819	2022-12-20 21:34:45		1				
1820	2022-12-20 21:35:00		1				
1833	2022-12-20 21:38:15						
1834	2022-12-20 21:38:30						
1840	2022-12-20 21:40:00		1				
1841	2022-12-20 21:40:15		1				
1850	2022-12-20 21:42:30	1					
1851	2022-12-20 21:42:45	1					
1854	2022-12-20 21:43:30	1					
1855	2022-12-20 21:43:45	1					
1856	2022-12-20 21:44:00	1					
1857	2022-12-20 21:44:15	1					
2025	2022-12-20 22:26:15		1				
2030	2022-12-20 22:27:30	1					
2042	2022-12-20 22:30:30	1					
2043	2022-12-20 22:30:45	1					
2213	2022-12-20 23:13:15	1					
2214	2022-12-20 23:13:30	1					
4479	2022-12-21 8:39:45	1					
4484	2022-12-21 8:41:00	1					
4665	2022-12-21 9:26:15	1					
4666	2022-12-21 9:26:30	1					
5286	2022-12-21 12:01:30	1					
5289	2022-12-21 12:02:15	1					
5314	2022-12-21 12:08:30	1					
5315	2022-12-21 12:08:45	1					
5316	2022-12-21 12:09:00		1				
5317	2022-12-21 12:09:15		1				
5340	2022-12-21 12:15:00		1				
5343	2022-12-21 12:15:45		1				
5356	2022-12-21 12:19:00	1					
5375	2022-12-21 12:23:45	1					
5376	2022-12-21 12:24:00	1					
5384	2022-12-21 12:26:00		1				
5387	2022-12-21 12:26:45		1				
5792	2022-12-21 14:08:00		1				
5793	2022-12-21 14:08:15		1				
5878	2022-12-21 14:29:30		1				
5881	2022-12-21 14:30:15		1				
6189	2022-12-21 15:47:15						1
6191	2022-12-21 15:47:45						1
6192	2022-12-21 15:48:00						1
10699	2022-12-22 10:34:45					1	
10960	2022-12-22 11:40:00	1					
10961	2022-12-22 11:40:15	1					
10965	2022-12-22 11:41:15	1					
10969	2022-12-22 11:42:15	1					
10972	2022-12-22 11:43:00	1					
10975	2022-12-22 11:43:45	1					
10990	2022-12-22 11:47:30	1					
10991	2022-12-22 11:47:45	1					
11068	2022-12-22 12:07:00	1					
11562	2022-12-22 14:10:30		1				
11564	2022-12-22 14:11:00		1				
11636	2022-12-22 14:29:00		1				
11637	2022-12-22 14:29:15		1				
11638	2022-12-22 14:29:30		1				
11655	2022-12-22 14:33:45				1		
11656	2022-12-22 14:34:00				1		
11719	2022-12-22 14:49:45	1					
11720	2022-12-22 14:50:00	1					
11738	2022-12-22 14:54:30			1			
11772	2022-12-22 15:03:00	1					
11774	2022-12-22 15:03:30	1					
12284	2022-12-22 17:11:00			1			
12287	2022-12-22 17:11:45			1			
12900	2022-12-22 19:45:00		1				
12901	2022-12-22 19:45:15		1				
13245	2022-12-22 21:11:15	1					
13247	2022-12-22 21:11:45	1					
13248	2022-12-22 21:12:00	1					
13264	2022-12-22 21:16:00		1				
13265	2022-12-22 21:16:15		1				
13281	2022-12-22 21:20:15	1					
13283	2022-12-22 21:20:45	1					
13386	2022-12-22 21:46:30	1					
13387	2022-12-22 21:46:45	1					
13395	2022-12-22 21:48:45	1					
13598	2022-12-22 22:39:30		1				
16510	2022-12-23 10:47:30						
16514	2022-12-23 10:48:30						
