Ix	TIME	1	2	3	4	5	6
214	2022-12-20 14:53:30		1				
853	2022-12-20 17:33:15		1				
858	2022-12-20 17:34:30		1				
874	2022-12-20 17:38:30		1				
2044	2022-12-20 22:31:00	1					
2049	2022-12-20 22:32:15	1					
2055	2022-12-20 22:33:45	1					
5360	2022-12-21 12:20:00	1					
5363	2022-12-21 12:20:45	1					
5377	2022-12-21 12:24:15		1				
5435	2022-12-21 12:38:45	1					
6190	2022-12-21 15:47:30		1				
6191	2022-12-21 15:47:45		1				
6193	2022-12-21 15:48:15		1				
6203	2022-12-21 15:50:45						1
6251	2022-12-21 16:02:45						
6475	2022-12-21 16:58:45						
6476	2022-12-21 16:59:00						
6480	2022-12-21 17:00:00						
6481	2022-12-21 17:00:15						
6513	2022-12-21 17:08:15						
10014	2022-12-22 7:43:30						
10017	2022-12-22 7:44:15						
10023	2022-12-22 7:45:45						
10123	2022-12-22 8:10:45						
10124	2022-12-22 8:11:00						
10126	2022-12-22 8:11:30						
10127	2022-12-22 8:11:45						
16510	2022-12-23 10:47:30						
